classification,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.27,202.06,75.85,434.77,137,1810
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,154.39,192.22,80.32,158.33,137,1810
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.79,197.37,31.31,534.01,137,1812
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.1,194.72,40.62,80.53,137,1812
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.21,202.06,76.32,434.77,137,1812
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.78,192.58,79.33,156.36,137,1812
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.87,197.37,31.35,534.01,137,1814
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.2,194.7,40.68,80.65,137,1814
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.2,202.06,76.32,434.77,137,1814
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.88,192.8,79.3,156.24,137,1814
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.88,197.37,31.35,534.01,137,1817
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.44,194.71,40.8,80.89,137,1817
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.65,202.06,76.04,434.77,137,1817
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.17,192.82,79.43,156.5,137,1817
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.89,197.37,31.36,534.01,137,1819
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.4,194.7,40.78,80.86,137,1819
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.16,202.06,76.29,434.77,137,1819
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.62,192.43,79.31,156.35,137,1819
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.89,197.37,31.36,534.01,137,1821
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.59,194.7,40.88,81.05,137,1821
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.45,202.06,75.94,434.77,137,1821
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.08,192.68,79.45,156.56,137,1821
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.97,197.37,31.4,534.01,137,1824
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.57,194.71,40.87,81.02,137,1824
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.49,202.06,76.46,434.77,137,1824
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.28,192.55,79.61,156.89,137,1824
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.9,197.37,31.36,534.01,137,1826
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.02,194.68,40.59,80.5,137,1826
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.03,202.06,76.23,434.77,137,1826
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.02,192.22,79.61,156.95,137,1826
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.89,197.37,31.36,534.01,137,1828
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.48,194.72,40.81,80.91,137,1828
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.72,202.06,76.08,434.77,137,1828
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.97,192.26,80.08,157.86,137,1828
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.92,197.37,31.37,534.01,137,1831
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.77,194.73,40.96,81.2,137,1831
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.58,202.06,76.01,434.77,137,1831
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,151.56,193.05,78.51,154.67,137,1831
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.94,197.37,31.38,534.01,137,1833
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.24,194.7,40.7,80.69,137,1833
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.66,202.06,76.05,434.77,137,1833
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.18,192.43,79.6,156.91,137,1833
Backup,DATA_DOMAIN,EMC Data Domain Device,200.0,40.0,1.75,12063.03,19508.31,61.84,12063.03,137,1835
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.95,197.37,31.39,534.01,137,1835
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,80.5,194.74,41.34,81.92,137,1835
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.26,202.06,76.35,434.77,137,1835
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.99,192.86,79.33,156.29,137,1835
Backup,DATA_DOMAIN,EMC Data Domain Device,200.0,40.0,1.75,12081.97,18456.56,65.46,12081.97,137,1838
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.92,197.37,31.37,534.01,137,1838
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.64,194.75,40.89,81.05,137,1838
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.59,202.06,76.01,434.77,137,1838
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.56,192.52,79.76,157.2,137,1838
Backup,DATA_DOMAIN,EMC Data Domain Device,200.0,40.0,1.75,12068.97,17947.65,67.25,12068.97,137,1840
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.93,197.37,31.38,534.01,137,1840
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,79.89,194.77,41.02,81.28,137,1840
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.52,202.06,76.47,434.77,137,1840
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,153.49,192.38,79.78,157.27,137,1840
Backup,DATA_DOMAIN,EMC Data Domain Device,200.0,40.0,1.75,12072.73,19745.8,61.14,12072.73,137,1842
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.97,197.37,31.4,534.01,137,1842
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,80.17,194.74,41.17,81.58,137,1842
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,154.16,202.06,76.29,434.77,137,1842
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.66,192.68,79.23,156.13,137,1842
Backup,DATA_DOMAIN,EMC Data Domain Device,200.0,40.0,1.75,12051.3,19135.11,62.98,12051.3,137,1845
DR,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,61.93,197.37,31.38,534.01,137,1845
DR,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,80.01,194.77,41.08,81.4,137,1845
Prod-iSeries,V7000_DEVICE,IBM V7000 Device,100.0,10.0,1.75,153.53,202.06,75.98,434.77,137,1845
Prod-Open,VMAX_DEVICE,EMC VMax Device,100.0,10.0,3.0,152.29,192.89,78.95,155.56,137,1845
