geography,device_type_code,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,532.77,725.93,73.39,559.5,188,1578
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.22,41.06,61.43,30.56,188,1578
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1578
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1580
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,532.81,725.93,73.4,559.5,188,1580
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1580
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1580
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1582
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.22,725.94,73.45,559.5,188,1582
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1582
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1582
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1585
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,532.99,725.93,73.42,559.65,188,1585
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1585
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1585
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1587
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.0,725.93,73.42,559.65,188,1587
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1587
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1587
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1589
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.35,725.93,73.47,559.66,188,1589
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1589
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1589
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1592
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.01,725.93,73.42,559.66,188,1592
Unmapped,UNITY_DEVICE,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1592
Unmapped,VMAX_DEVICE,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1592
Unmapped,COMPELLENT_DEVICE,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1594
Unmapped,SVC_DEVICE,IBM SVC Device,200.0,10.0,1.75,533.06,725.93,73.43,559.66,188,1594
