classification,latency,peak_iops,Used,Allocated,Snap,Free,Capacity,Orphaned,collection_date,formatted_collection_date,client_id
Prod-Open,0.0,38746.6,131933.29,0.0,0.0,0.0,0.0,0.0,2019-06-30,06/30/2019,137
DR,0.191618,23448.06,139823.69,0.0,0.0,0.0,0.0,0.0,2019-07-07,07/07/2019,137
Prod-iSeries,1.56,17365.11,155198.4,0.0,0.0,0.0,0.0,0.0,2019-07-07,07/07/2019,137
Prod-Open,0.0,37704.16,131712.07,0.0,0.0,0.0,0.0,0.0,2019-07-07,07/07/2019,137
DR,0.183086,19657.68,141571.73,0.0,0.0,0.0,0.0,0.0,2019-07-14,07/14/2019,137
Prod-iSeries,0.9,11969.89,154368.77,0.0,0.0,0.0,0.0,0.0,2019-07-14,07/14/2019,137
Prod-Open,0.0,38280.99,134027.07,0.0,0.0,0.0,0.0,0.0,2019-07-14,07/14/2019,137
DR,0.165784,18354.4,141937.72,0.0,0.0,0.0,0.0,0.0,2019-07-21,07/21/2019,137
Prod-iSeries,1.55,9279.08,154078.82,0.0,0.0,0.0,0.0,0.0,2019-07-21,07/21/2019,137
Prod-Open,0.0,38772.01,133376.57,0.0,0.0,0.0,0.0,0.0,2019-07-21,07/21/2019,137
DR,0.19778,19381.02,140418.15,0.0,0.0,0.0,0.0,0.0,2019-07-28,07/28/2019,137
Prod-iSeries,1.2,12306.45,153957.15,0.0,0.0,0.0,0.0,0.0,2019-07-28,07/28/2019,137
Prod-Open,0.0,40051.62,133725.19,0.0,0.0,0.0,0.0,0.0,2019-07-28,07/28/2019,137
DR,0.19908,20376.32,142369.04,0.0,0.0,0.0,0.0,0.0,2019-08-04,08/04/2019,137
Prod-iSeries,0.99,11915.64,154097.63,0.0,0.0,0.0,0.0,0.0,2019-08-04,08/04/2019,137
Prod-Open,0.0,38193.29,133522.57,0.0,0.0,0.0,0.0,0.0,2019-08-04,08/04/2019,137
DR,0.215194,18798.1,142421.32,0.0,0.0,0.0,0.0,0.0,2019-08-11,08/11/2019,137
Prod-iSeries,1.93,16612.47,153979.27,0.0,0.0,0.0,0.0,0.0,2019-08-11,08/11/2019,137
Prod-Open,0.0,39110.4,135207.02,0.0,0.0,0.0,0.0,0.0,2019-08-11,08/11/2019,137
DR,0.198994,16966.18,143036.6,0.0,0.0,0.0,0.0,0.0,2019-08-18,08/18/2019,137
Prod-iSeries,1.85,10693.47,153817.91,0.0,0.0,0.0,0.0,0.0,2019-08-18,08/18/2019,137
Prod-Open,0.0,32938.36,145568.3,0.0,0.0,0.0,0.0,0.0,2019-08-18,08/18/2019,137
DR,0.187116,19077.08,142040.76,0.0,0.0,0.0,0.0,0.0,2019-08-25,08/25/2019,137
Prod-iSeries,1.18,11715.59,153761.56,0.0,0.0,0.0,0.0,0.0,2019-08-25,08/25/2019,137
Prod-Open,0.0,36532.69,144519.78,0.0,0.0,0.0,0.0,0.0,2019-08-25,08/25/2019,137
DR,0.18659,19748.98,142358.44,0.0,0.0,0.0,0.0,0.0,2019-09-01,09/01/2019,137
Prod-iSeries,1.14,10536.96,153789.9,0.0,0.0,0.0,0.0,0.0,2019-09-01,09/01/2019,137
Prod-Open,0.0,36914.55,146682.22,0.0,0.0,0.0,0.0,0.0,2019-09-01,09/01/2019,137
DR,0.221846,20313.64,143140.34,0.0,0.0,0.0,0.0,0.0,2019-09-08,09/08/2019,137
Prod-iSeries,1.46,10102.02,153860.27,0.0,0.0,0.0,0.0,0.0,2019-09-08,09/08/2019,137
Prod-Open,0.0,27596.51,147527.44,0.0,0.0,0.0,0.0,0.0,2019-09-08,09/08/2019,137
DR,0.200894,18254.1,143553.16,0.0,0.0,0.0,0.0,0.0,2019-09-15,09/15/2019,137
Prod-iSeries,1.34,8454.48,153810.56,0.0,0.0,0.0,0.0,0.0,2019-09-15,09/15/2019,137
Prod-Open,0.0,28990.81,149158.76,0.0,0.0,0.0,0.0,0.0,2019-09-15,09/15/2019,137
DR,0.204874,19661.74,143654.13,0.0,0.0,0.0,0.0,0.0,2019-09-22,09/22/2019,137
Prod-iSeries,1.7,13301.98,153988.3,0.0,0.0,0.0,0.0,0.0,2019-09-22,09/22/2019,137
Prod-Open,0.0,42517.78,148063.73,0.0,0.0,0.0,0.0,0.0,2019-09-22,09/22/2019,137
