data_center,device_type_code,count,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.51,725.92,65.09,502.76,188,1813
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1813
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1816
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.56,725.92,65.1,502.76,188,1816
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1816
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1818
Plano,SVC_DEVICE,3,IBM SVC Device,300.0,15.0,1.75,910.04,1399.62,65.02,942.1,188,1818
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1818
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1820
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.68,725.92,65.11,502.76,188,1820
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1820
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1823
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.67,725.92,65.11,502.76,188,1823
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1823
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1825
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.59,725.92,65.1,502.76,188,1825
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1825
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1827
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.82,725.92,65.13,502.76,188,1827
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1827
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1830
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.57,725.92,65.1,502.76,188,1830
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.28,43.46,188,1830
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1832
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.59,725.92,65.1,502.76,188,1832
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1832
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1834
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.69,725.92,65.12,502.76,188,1834
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1834
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1837
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.75,725.92,65.12,502.76,188,1837
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1837
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1839
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.61,725.92,65.1,502.76,188,1839
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1839
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1841
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.71,725.92,65.12,502.76,188,1841
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1841
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1844
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.73,725.92,65.12,502.76,188,1844
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1844
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1846
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,472.66,725.92,65.11,502.76,188,1846
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.16,41.06,61.27,30.77,188,1846
